Full Name,First Name,Last Name,Gender,Space Flights,Space Flight Hours,Spacewalks,Spacewalk Hours,Alma Mater,Undergrad Major,Graduate Major,Achievement Count
William A Anders,William,Anders,Man,1,147,0,0,US Naval Academy; Air Force Institute of Technology,Nuclear Engineering,Nuclear Engineering,3
William A Oefelein,William,Oefelein,Man,1,308,0,0,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,3
William A Pailes,William,Pailes,Man,1,97,0,0,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,3
William B Lenoir,William,Lenoir,Man,1,122,0,0,MIT,Electrical Engineering,Electrical Engineering,3
William C McCool,William,McCool,Man,1,382,0,0,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,3
William E Thornton,William,Thornton,Man,2,315,0,0,University of North Carolina,Physics,Medicine,3
William F Fisher,William,Fisher,Man,1,170,2,12,Stanford University; University of Houston; University of Florida,0,Engineering; Medicine,3
William F Readdy,William,Readdy,Man,3,672,0,0,US Naval Academy,Aerospace Engineering,0,3
William G Gregory,William,Gregory,Man,1,399,0,0,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,3
William M Shepherd,William,Shepherd,Man,4,3823,0,0,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,3
William R Pogue,William,Pogue,Man,1,2017,2,13,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,3
William S McArthur,William,McArthur,Man,4,5398,4,24,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,2
Winston E Scott,Winston,Scott,Man,2,590,3,19,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,3
Yvonne D Cagle,Yvonne,Cagle,Not Found,0,0,0,0,San Francisco State University,Biochemistry,0,3
