Full Name,First Name,Last Name,Gender,Space Flights,Space Flight Hours,Spacewalks,Spacewalk Hours,Alma Mater,Undergrad Major,Graduate Major,Achievement Count
Jeanette J Epps,Jeanette,Epps,Not Found,0,0,0,0,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,1
Jeffrey A Hoffman,Jeffrey,Hoffman,Man,5,1211,4,25,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,1
Jeffrey N Williams,Jeffrey,Williams,Man,4,12818,5,32,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,1
Jeffrey S Ashby,Jeffrey,Ashby,Man,3,655,0,0,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,2
Jerome Apt,Jerome,Apt,Man,4,847,2,11,Harvard University; MIT,Physics,Physics,3
Jerry L Ross,Jerry,Ross,Man,7,1393,9,58,Purdue University,Mechanical Engineering,Mechanical Engineering,3
Jerry M Linenger,Jerry,Linenger,Man,2,3435,1,5,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,1
Joan E Higginbotham,Joan,Higginbotham,Woman,1,308,0,0,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,1
Joe F Edwards,Joe,Edwards,Man,1,211,0,0,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,1
Joe H Engle,Joe,Engle,Man,2,224,0,0,University of Kansas,Aeronautical Engineering,0,2
John A Llewellyn,John,Llewellyn,Not Found,0,0,0,0,University College at Cardiff,Chemistry,Chemistry,1
John B Herrington,John,Herrington,Man,1,330,3,20,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,2
John D Olivas,John,Olivas,Man,2,665,5,34,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,3
John E Blaha,John,Blaha,Man,5,3861,0,0,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,1
John H Casper,John,Casper,Man,4,825,0,0,US Air Force Academy; Purdue University,Engineering Science,Astronautics,1
John H Glenn,John,Glenn,Man,2,218,0,0,Muskingum College,Engineering,0,1
John L Phillips,John,Phillips,Man,3,4880,1,5,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,1
John L Swigert,John,Swigert,Man,1,142,0,0,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,2
John M Fabian,John,Fabian,Man,2,316,0,0,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,3
John M Grunsfeld,John,Grunsfeld,Man,5,1407,8,58,MIT; University of Chicago,Physics,Physics,2
John O Creighton,John,Creighton,Man,3,404,0,0,US Naval Academy; George Washington University,0,Science & Technology Administration,1
John S Bull,John,Bull,Not Found,0,0,0,0,Rice University; Stanford University,Mechanical Engineering,Aeronautical Engineering,2
John W Young,John,Young,Man,6,835,3,20,Georgia Institute of Technology,Aeronautical Engineering,0,1
John-David F Bartoe,John-David,Bartoe,Man,1,190,0,0,Lehigh University; Georgetown University,Physics,Physics,1
Jon A McBride,Jon,McBride,Man,1,197,0,0,US Naval Postgraduate School,Aeronautical Engineering,0,2
Jose M Hernandez,Jose,Hernandez,Not Found,1,332,0,0,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,1
Joseph M Acaba,Joseph,Acaba,Man,3,3307,2,13,University of California-Santa Barbara; University of Arizona,Geology,Geology,2
Joseph P Allen,Joseph,Allen,Man,2,313,2,12,DePauw University; Yale University,Mathematics & Physics,Physics,1
Joseph P Kerwin,Joseph,Kerwin,Man,1,672,1,3,College of the Holy Cross; Northwestern University,Philosophy,Medicine,1
Joseph R Tanner,Joseph,Tanner,Man,4,1045,7,46,University of Illinois,Mechanical Engineering,0,2
Judith A Resnik,Judith,Resnik,Woman,2,144,0,0,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,1
K Megan McArthur,Megan,McArthur,Woman,2,309,0,0,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,2
Kalpana Chawla,Kalpana,Chawla,Woman,2,734,0,0,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,3
Karen L Nyberg,Karen,Nyberg,Woman,2,4320,0,0,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,1
Karl G Henize,Karl,Henize,Man,1,190,0,0,University of Virginia; University of Michigan,Mathematics,Astronomy,1
Karol J Bobko,Karol,Bobko,Man,3,386,0,0,US Air Force Academy; University of Southern California,0,Aerospace Engineering,2
Kathleen Rubins,Kathleen,Rubins,Woman,2,2762,2,13,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,1
Kathryn C Thornton,Kathryn,Thornton,Woman,4,975,3,21,Auburn University; University of Virginia,Physics,Physics,2
Kathryn D Sullivan,Kathryn,Sullivan,Woman,3,532,1,3,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,3
Kathryn P Hire,Kathryn,Hire,Woman,2,711,0,0,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,1
Kenneth D Bowersox,Kenneth,Bowersox,Man,5,5078,2,13,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,3
Kenneth D Cameron,Kenneth,Cameron,Man,3,562,0,0,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,1
Kenneth D Cockrell,Kenneth,Cockrell,Man,5,1548,0,0,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,1
Kenneth S Reightler,Kenneth,Reightler,Man,2,327,0,0,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,2
Kenneth T Ham,Kenneth,Ham,Man,2,612,0,0,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,3
Kent V Rominger,Kent,Rominger,Man,5,1611,0,0,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,1
Kevin A Ford,Kevin,Ford,Man,2,3781,0,0,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,2
Kevin P Chilton,Kevin,Chilton,Man,3,700,0,0,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,1
Kevin R Kregel,Kevin,Kregel,Man,4,1265,0,0,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,3
Kjell N Lindgren,Kjell,Lindgren,Man,1,3400,2,15,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,3
L Blaine Hammond,Blaine,Hammond,Not Found,2,462,0,0,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,3
L Gordon Cooper,Gordon,Cooper,Man,2,225,0,0,Air Force Institute of Technology,Aeronautical Engineering,0,2
Laurel B Clark,Laurel,Clark,Woman,1,382,0,0,University of Wisconsin-Madison,Zoology,Medicine,1
Lawrence J Delucas,Lawrence,Delucas,Man,1,331,0,0,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,3
Lee J Archambault,Lee,Archambault,Man,2,639,0,0,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,2
Lee M Morin,Lee,Morin,Man,1,259,2,14,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,2
Leland D Melvin,Leland,Melvin,Man,2,565,0,0,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,3
Leroy Chiao,Leroy,Chiao,Man,4,5503,6,36,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Chemical Engineering,3
Linda M Godwin,Linda,Godwin,Woman,4,918,2,10,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,3
Lisa M Nowak,Lisa,Nowak,Woman,1,306,0,0,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,2
Lodewijk van den Berg,Lodewijk,Berg,Man,1,168,0,0,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,3
Loren J Shriver,Loren,Shriver,Man,3,386,0,0,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,3
Loren W Acton,Loren,Acton,Man,1,190,0,0,Montana State University; University of Colorado,Engineering Physics,Solar Physics,1
M Scott Carpenter,Scott,Carpenter,Man,1,4,0,0,University of Colorado,Aeronautical Engineering,0,1
Mae C Jemison,Mae,Jemison,Woman,1,190,0,0,Stanford University; Cornell University,Chemical Engineering,Medicine,3
Manley Lanier Carter,Manley,Carter,Not Found,1,120,0,0,Emory University,Chemistry,Medicine,1
Margaret Rhea Seddon,Margaret,Seddon,Not Found,3,722,0,0,University of California-Berkeley; University of Tennessee,Physiology,Medicine,3
Mario Runco,Mario,Runco,Man,3,551,0,0,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,2
Mark C Lee,Mark,Lee,Man,4,789,4,26,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,2
Mark E Kelly,Mark,Kelly,Man,4,1298,0,0,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,2
Mark L Polansky,Mark,Polansky,Man,3,995,0,0,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,3
Mark N Brown,Mark,Brown,Man,2,249,0,0,Purdue University; Air Force Institute of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,3
Mark T Vande Hei,Mark,Hei,Man,2,0,0,0,Saint John’s University; Stanford University,Physics,Applied Physics,3
Marsha S Ivins,Marsha,Ivins,Woman,5,1341,0,0,University of Colorado,Aerospace Engineering,0,3
Martin J Fettman,Martin,Fettman,Man,1,336,0,0,Cornell University; Colorado State University,Animal Nutrition,Physiology,1
Mary E Weber,Mary,Weber,Woman,2,450,0,0,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,3
Mary L Cleave,Mary,Cleave,Woman,2,262,0,0,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,3
Michael A Baker,Michael,Baker,Man,4,965,0,0,University of Texas,Aerospace Engineering,0,2
Michael Collins,Michael,Collins,Man,2,266,1,1,US Military Academy,0,0,1
Michael E Fossum,Michael,Fossum,Man,3,4651,7,48,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),3
Michael E Lopez-Alegria,Michael,Lopez-Alegria,Man,4,6190,10,67,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,3
Michael J Bloomfield,Michael,Bloomfield,Man,3,779,0,0,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,3
Michael J Foreman,Michael,Foreman,Man,2,637,5,32,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,3
Michael J Massimino,Michael,Massimino,Man,2,571,4,30,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,1
Michael J McCulley,Michael,McCulley,Man,1,119,0,0,Purdue University,Metallurgical Engineering,Metallurgical Engineering,1
Michael J Smith,Michael,Smith,Man,1,0,0,0,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,3
Michael L Coats,Michael,Coats,Man,3,463,0,0,US Naval Academy; George Washington University; US Naval Postgraduate School,0,Science & Technology Administration; Aeronautical Engineering,1
Michael L Gernhardt,Michael,Gernhardt,Man,4,1039,4,23,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,3
Michael P Anderson,Michael,Anderson,Man,2,594,0,0,University of Washington; Creighton University,Physics & Astronomy,Physics,3
Michael R Barratt,Michael,Barratt,Man,2,5075,1,5,University of Washington; Northwestern University; Wright State University,Zoology,Medicine; Aerospace Medicine,3
Michael R Clifford,Michael,Clifford,Man,3,666,1,6,US Military Academy; Georgia Institute of Technology,0,Aerospace Engineering,3
Michael S Hopkins,Michael,Hopkins,Man,2,3990,2,13,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,1
Michael T Good,Michael,Good,Man,2,592,4,30,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,1
Millie Hughes-Fulford,Millie,Hughes-Fulford,Woman,1,218,0,0,Tarleton State University; Texas Woman’s University,Chemistry & Biology,0,1
N Jan Davis,Jan,Davis,Not Found,3,673,0,0,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,1
Nancy J Currie,Nancy,Currie,Woman,4,999,0,0,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,2
Neil A Armstrong,Neil,Armstrong,Man,2,205,1,2,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,3
Neil W Woodward,Neil,Woodward,Not Found,0,0,0,0,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,3
Niclolas J M Patrick,Niclolas,Patrick,Not Found,2,638,3,18,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,3
Nicole P Stott,Nicole,Stott,Woman,2,2477,1,6,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,2
Norman E Thagard,Norman,Thagard,Man,5,3373,0,0,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,3
Owen K Garriott,Owen,Garriott,Man,2,1674,3,14,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,3
Pamela A Melroy,Pamela,Melroy,Woman,3,914,0,0,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,1
Patricia Hilliard Robertson,Patricia,Robertson,Not Found,0,0,0,0,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,3
Patrick G Forrester,Patrick,Forrester,Man,3,950,4,25,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,2
Paul D Scully-Power,Paul,Scully-Power,Man,1,197,0,0,University of Sydney,Applied Mathematics,0,3
Paul J Weitz,Paul,Weitz,Man,2,793,1,2,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,2
Paul S Lockhart,Paul,Lockhart,Man,2,663,0,0,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,1
Paul W Richards,Paul,Richards,Man,1,307,1,6,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,1
Peggy A Whitson,Peggy,Whitson,Woman,3,11698,7,46,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,3
Peter J K Wisoff,Peter,Wisoff,Man,4,1064,3,20,University of Virginia; Stanford University,Physics,Applied Physics,3
Philip K Chapman,Philip,Chapman,Not Found,0,0,0,0,University of Sydney; MIT,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,3
Pierre J Thuot,Pierre,Thuot,Man,3,654,3,17,US Naval Academy; University of Southern California,Physics,Systems Management,2
Piers J Sellers,Piers,Sellers,Man,3,839,6,41,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,2
Randolph J Bresnik,Randolph,Bresnik,Man,2,259,2,12,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,3
Rex J Walheim,Rex,Walheim,Man,3,872,5,36,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,3
Richard A Mastracchio,Richard,Mastracchio,Man,4,5461,9,53,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,3
Richard A Searfoss,Richard,Searfoss,Man,3,939,0,0,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,3
Richard F Gordon,Richard,Gordon,Man,2,315,1,0.5,University of Washington,Chemistry,0,3
Richard H Truly,Richard,Truly,Man,2,199,0,0,Georgia Institute of Technology,Aeronautical Engineering,0,3
Richard J Hieb,Richard,Hieb,Man,3,766,3,18,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,2
Richard M Linnehan,Richard,Linnehan,Man,4,1427,6,43,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,2
Richard M Mullane,Richard,Mullane,Man,3,356,0,0,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,3
Richard N Richards,Richard,Richards,Man,4,813,0,0,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,3
Richard O Covey,Richard,Covey,Man,4,645,0,0,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,3
Richard R Arnold,Richard,Arnold,Man,2,307,2,12,Frostburg State University; University of Maryland,Accounting,Environmental Science,3
Rick D Husband,Rick,Husband,Man,2,617,0,0,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,3
Robert A Parker,Robert,Parker,Man,2,462,0,0,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,2
Robert C Springer,Robert,Springer,Man,2,237,0,0,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,2
Robert Cenker,Robert,Cenker,Man,1,146,0,0,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,2
Robert D Cabana,Robert,Cabana,Man,4,910,0,0,US Naval Academy,Mathematics,0,3
Robert F Overmyer,Robert,Overmyer,Man,2,290,0,0,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,2
Robert L Behnken,Robert,Behnken,Man,3,708,6,37,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,2
Robert L Crippen,Robert,Crippen,Man,4,565,0,0,University of Texas,Aerospace Engineering,0,3
Robert L Curbeam,Robert,Curbeam,Man,3,902,7,45,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,3
Robert L Gibson,Robert,Gibson,Man,5,868,0,0,California Polytechnic Institute,Aeronautical Engineering,0,3
Robert L Satcher,Robert,Satcher,Man,1,259,2,12,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,2
Robert L Stewart,Robert,Stewart,Man,2,289,2,12,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,3
Robert Shane Kimbrough,Robert,Kimbrough,Man,3,3720,4,25,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,2
Roger B Chaffee,Roger,Chaffee,Not Found,1,0,0,0,Purdue University,Aeronautical Engineering,0,2
Roger K Crouch,Roger,Crouch,Man,2,471,0,0,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,2
Ronald A Parise,Ronald,Parise,Man,2,614,0,0,Youngstown State University; University of Florida,Physics,Astronomy,3
Ronald E Evans,Ronald,Evans,Man,1,301,1,1,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,3
Ronald E McNair,Ronald,McNair,Man,1,191,0,0,North Carolina A&T State College; MIT,Physics,Physics,2
Ronald J Garan,Ronald,Garan,Man,2,4271,4,27,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,3
Ronald J Grabe,Ronald,Grabe,Man,4,627,0,0,US Air Force Academy,Engineering Science,0,3
Ronald M Sega,Ronald,Sega,Man,2,420,0,0,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,2
Roy D Bridges,Roy,Bridges,Man,1,190,0,0,US Air Force Academy; Purdue University,Engineering Science,Astronautics,3
Russell L Schweickart,Russell,Schweickart,Not Found,1,241,1,1,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,3
S Christa McAuliffe,Christa,McAuliffe,Woman,1,0,0,0,Framingham State College; Bowie State College,Education,Education,2
S David Griggs,David,Griggs,Man,1,167,1,3,US Naval Academy; George Washington University,0,Business Administration,2
Sally K Ride,Sally,Ride,Woman,2,343,0,0,Stanford University,Physics; English,Physics,2
Samuel T Durrance,Samuel,Durrance,Man,2,614,0,0,California State University; University of Colorado,Physics,Physics; Astrogeophysics,2
Sandra H Magnus,Sandra,Magnus,Woman,3,3776,0,0,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,3
