Name,SpaceFlights,FlightHours,Spacewalks,SpacewalkHours,SpaceFlights_Score,FlightHours_Score,Spacewalks_Score,SpacewalkHours_Score,OverallScore
C. Gordon Fullerton,382,0,0.0,0.0,51,50,50,100,50.0
F. Andrew Gaffney,218,0,0.0,0.0,51,50,50,100,50.0
Ronald J. Garan Jr. ,4271,4,27.0,0.0,67,70,70,100,73.0
Dale A. Gardner,336,2,12.0,0.0,51,60,59,100,58.0
Guy S. Gardner,320,0,0.0,0.0,51,50,50,100,50.0
Jake Garn,167,0,0.0,0.0,51,50,50,100,50.0
Owen K. Garriott,1674,3,14.0,0.0,57,65,60,100,63.0
Charles D. Gemar,581,0,0.0,0.0,52,50,50,100,51.0
Michael L. Gernhardt,1039,4,23.0,0.0,54,70,67,100,66.0
Edward G. Gibson,2017,3,15.0,0.0,58,65,61,100,64.0
Robert L. Gibson,868,0,0.0,0.0,53,50,50,100,51.0
Edward G. Givens Jr. ,0,0,0.0,0.0,50,50,50,100,50.0
John H. Glenn Jr. ,218,0,0.0,0.0,51,50,50,100,50.0
Linda M. Godwin,918,2,10.0,0.0,54,60,57,100,59.0
Michael T. Good,592,4,30.0,0.0,52,70,72,100,67.0
Richard F. Gordon Jr. ,315,1,0.5,0.0,51,55,50,100,53.0
Dominic L. Gorie,1167,0,0.0,0.0,55,50,50,100,52.0
Ronald J. Grabe,627,0,0.0,0.0,52,50,50,100,51.0
Duane E. Graveline,0,0,0.0,0.0,50,50,50,100,50.0
Frederick D. Gregory,455,0,0.0,0.0,52,50,50,100,51.0
William G. Gregory,399,0,0.0,0.0,52,50,50,100,51.0
S. David Griggs,167,1,3.0,0.0,51,55,52,100,53.0
Virgil I. Grissom,5,0,0.0,0.0,50,50,50,100,50.0
John M. Grunsfeld,1407,8,58.0,0.0,55,90,93,100,84.0
Sidney M. Gutierrez,488,0,0.0,0.0,52,50,50,100,51.0
Fred W. Haise Jr. ,142,0,0.0,0.0,51,50,50,100,50.0
James D. Halsell Jr. ,1258,0,0.0,0.0,55,50,50,100,52.0
Kenneth T. Ham,612,0,0.0,0.0,52,50,50,100,51.0
L. Blaine Hammond Jr. ,462,0,0.0,0.0,52,50,50,100,51.0
Gregory J. Harbaugh,817,3,18.0,0.0,53,65,63,100,62.0
Bernard A. Harris Jr. ,438,1,5.0,0.0,52,55,54,100,55.0
Terry J. Hart,167,0,0.0,0.0,51,50,50,100,50.0
Henry W. Hartsfield Jr. ,482,0,0.0,0.0,52,50,50,100,51.0
Frederick H. Hauck,435,0,0.0,0.0,52,50,50,100,51.0
Steven A. Hawley,770,0,0.0,0.0,53,50,50,100,51.0
Susan J. Helms,5063,1,9.0,0.0,70,55,57,100,64.0
Karl G. Henize,190,0,0.0,0.0,51,50,50,100,50.0
Thomas J. Hennen,166,0,0.0,0.0,51,50,50,100,50.0
Terence T. Henricks,1026,0,0.0,0.0,54,50,50,100,52.0
Jose M. Hernandez,332,0,0.0,0.0,51,50,50,100,50.0
John B. Herrington,330,3,20.0,0.0,51,65,65,100,62.0
Richard J. Hieb,766,3,18.0,0.0,53,65,63,100,62.0
Joan E. Higginbotham,308,0,0.0,0.0,51,50,50,100,50.0
David C. Hilmers,494,0,0.0,0.0,52,50,50,100,51.0
Kathryn P. Hire,711,0,0.0,0.0,53,50,50,100,51.0
Charles O. Hobaugh,873,0,0.0,0.0,53,50,50,100,51.0
Jeffrey A. Hoffman,1211,4,25.0,0.0,55,70,69,100,68.0
Donald L. Holmquest,0,0,0.0,0.0,50,50,50,100,50.0
Michael S. Hopkins,3990,2,13.0,0.0,66,60,60,100,65.0
Scott J. Horowitz,1137,0,0.0,0.0,54,50,50,100,52.0
Millie Hughes-Fulford,218,0,0.0,0.0,51,50,50,100,50.0
Douglas G. Hurley,683,0,0.0,0.0,53,50,50,100,51.0
Rick D. Husband,617,0,0.0,0.0,52,50,50,100,51.0
James B. Irwin,295,3,20.0,0.0,51,65,65,100,62.0
Marsha S. Ivins,1341,0,0.0,0.0,55,50,50,100,52.0
Gregory B. Jarvis,0,0,0.0,0.0,50,50,50,100,50.0
Mae C. Jemison,190,0,0.0,0.0,51,50,50,100,50.0
Tamara E. Jernigan,1489,1,8.0,0.0,56,55,56,100,57.0
Brent W. Jett,1002,0,0.0,0.0,54,50,50,100,52.0
Gregory C. Johnson,309,0,0.0,0.0,51,50,50,100,50.0
Gregory H. Johnson,755,0,0.0,0.0,53,50,50,100,51.0
Thomas D. Jones,1272,3,20.0,0.0,55,65,65,100,64.0
Janet L. Kavandi,812,0,0.0,0.0,53,50,50,100,51.0
James M. Kelly,641,0,0.0,0.0,53,50,50,100,51.0
Mark E. Kelly,1298,0,0.0,0.0,55,50,50,100,52.0
Scott J. Kelly,12490,3,18.0,0.0,99,65,63,100,84.0
Joseph P. Kerwin,672,1,3.0,0.0,53,55,52,100,54.0
Susan L. Kilrain (Still),472,0,0.0,0.0,52,50,50,100,51.0
Robert Shane Kimbrough,3720,4,25.0,0.0,65,70,69,100,72.0
Timothy L. Kopra,5857,3,13.0,0.0,73,65,60,100,71.0
Kevin R. Kregel,1265,0,0.0,0.0,55,50,50,100,52.0
Wendy B. Lawrence,1223,0,0.0,0.0,55,50,50,100,52.0
Mark C. Lee,789,4,26.0,0.0,53,70,69,100,67.0
David C. Leestma,532,1,3.0,0.0,52,55,52,100,54.0
William B. Lenoir,122,0,0.0,0.0,50,50,50,100,50.0
Fred W. Leslie,381,0,0.0,0.0,51,50,50,100,50.0
Byron K. Lichtenberg,461,0,0.0,0.0,52,50,50,100,51.0
Don L. Lind,168,0,0.0,0.0,51,50,50,100,50.0
Kjell N. Lindgren,3400,2,15.0,0.0,63,60,61,100,64.0
Steven W. Lindsey,1510,0,0.0,0.0,56,50,50,100,53.0
Jerry M. Linenger,3435,1,5.0,0.0,63,55,54,100,60.0
Richard M. Linnehan,1427,6,43.0,0.0,56,80,82,100,77.0
Gregory T. Linteris,471,0,0.0,0.0,52,50,50,100,51.0
John A. Llewellyn,0,0,0.0,0.0,50,50,50,100,50.0
Paul S. Lockhart,663,0,0.0,0.0,53,50,50,100,51.0
Michael E. Lopez-Alegria,6190,10,67.0,0.0,74,100,100,100,100.0
Christopher J. Loria,0,0,0.0,0.0,50,50,50,100,50.0
J. Mike Lounge,483,0,0.0,0.0,52,50,50,100,51.0
Jack R. Lousma,1619,2,11.0,0.0,56,60,58,100,60.0
Stanley G. Love,306,2,15.0,0.0,51,60,61,100,59.0
James A. Lovell Jr. ,715,0,0.0,0.0,53,50,50,100,51.0
G. David Low,714,1,6.0,0.0,53,55,54,100,55.0
Edward T. Lu,4962,1,6.0,0.0,69,55,54,100,62.0
Shannon W. Lucid,5354,0,0.0,0.0,71,50,50,100,60.0
Sandra H. Magnus,3776,0,0.0,0.0,65,50,50,100,57.0
Thomas H. Marshburn,3871,4,24.0,0.0,65,70,68,100,72.0
Michael J. Massimino,571,4,30.0,0.0,52,70,72,100,67.0
Richard A. Mastracchio,5461,9,53.0,0.0,71,95,90,100,93.0
Thomas K. Mattingly II ,508,1,1.0,0.0,52,55,51,100,54.0
K. Megan McArthur,309,0,0.0,0.0,51,50,50,100,50.0
William S. McArthur Jr. ,5398,4,24.0,0.0,71,70,68,100,75.0
S. Christa McAuliffe,0,0,0.0,0.0,50,50,50,100,50.0
Jon A. McBride,197,0,0.0,0.0,51,50,50,100,50.0
Bruce McCandless II ,312,2,12.0,0.0,51,60,59,100,58.0
William C. McCool,382,0,0.0,0.0,51,50,50,100,50.0
Michael J. McCulley,119,0,0.0,0.0,50,50,50,100,50.0
James A. McDivitt,338,0,0.0,0.0,51,50,50,100,50.0
Donald R. McMonagle,605,0,0.0,0.0,52,50,50,100,51.0
Ronald E. McNair,191,0,0.0,0.0,51,50,50,100,50.0
Carl J. Meade,712,1,6.0,0.0,53,55,54,100,55.0
Bruce E. Melnick,311,0,0.0,0.0,51,50,50,100,50.0
Pamela A. Melroy,914,0,0.0,0.0,54,50,50,100,52.0
Leland D. Melvin,565,0,0.0,0.0,52,50,50,100,51.0
Dorothy M. Metcalf-Lindenberger,362,0,0.0,0.0,51,50,50,100,50.0
F. Curtis Michel,0,0,0.0,0.0,50,50,50,100,50.0
Edgar D. Mitchell,216,2,9.0,0.0,51,60,57,100,57.0
Barbara R. Morgan,305,0,0.0,0.0,51,50,50,100,50.0
Lee M. Morin,259,2,14.0,0.0,51,60,60,100,58.0
Richard M. Mullane,356,0,0.0,0.0,51,50,50,100,50.0
Story Musgrave,1281,4,26.0,0.0,55,70,69,100,68.0
Steven R. Nagel,721,0,0.0,0.0,53,50,50,100,51.0
Bill Nelson,146,0,0.0,0.0,51,50,50,100,50.0
George D. Nelson,411,2,10.0,0.0,52,60,57,100,58.0
James H. Newman,1042,6,43.0,0.0,54,80,82,100,76.0
Carlos I. Noriega,481,3,19.0,0.0,52,65,64,100,62.0
Lisa M. Nowak,306,0,0.0,0.0,51,50,50,100,50.0
Karen L. Nyberg,4320,0,0.0,0.0,67,50,50,100,58.0
Bryan D. O'Connor,383,0,0.0,0.0,51,50,50,100,50.0
Brian T. O'Leary,0,0,0.0,0.0,50,50,50,100,50.0
Ellen Ochoa,979,0,0.0,0.0,54,50,50,100,52.0
William A. Oefelein,308,0,0.0,0.0,51,50,50,100,50.0
John D. Olivas,665,5,34.0,0.0,53,75,75,100,71.0
Ellison S. Onizuka,73,0,0.0,0.0,50,50,50,100,50.0
Stephen S. Oswald,814,0,0.0,0.0,53,50,50,100,51.0
Robert F. Overmyer,290,0,0.0,0.0,51,50,50,100,50.0
William A. Pailes,97,0,0.0,0.0,50,50,50,100,50.0
Scott E. Parazynski,1404,7,47.0,0.0,55,85,85,100,80.0
Ronald A. Parise,614,0,0.0,0.0,52,50,50,100,51.0
Robert A. Parker,462,0,0.0,0.0,52,50,50,100,51.0
Niclolas J. M. Patrick,638,3,18.0,0.0,52,65,63,100,62.0
James A. Pawelczyk,381,0,0.0,0.0,51,50,50,100,50.0
Gary E. Payton,73,0,0.0,0.0,50,50,50,100,50.0
Donald H. Peterson,120,1,4.0,0.0,50,55,53,100,53.0
Donald R. Pettit,8872,2,13.0,0.0,85,60,60,100,74.0
John L. Phillips,4880,1,5.0,0.0,69,55,54,100,62.0
William R. Pogue,2017,2,13.0,0.0,58,60,60,100,61.0
Alan G. Poindexter,669,0,0.0,0.0,53,50,50,100,51.0
Mark L. Polansky,995,0,0.0,0.0,54,50,50,100,52.0
Charles J. Precourt,950,0,0.0,0.0,54,50,50,100,52.0
William F. Readdy,672,0,0.0,0.0,53,50,50,100,51.0
Kenneth S. Reightler Jr. ,327,0,0.0,0.0,51,50,50,100,50.0
James F. Reilly II ,854,5,31.0,0.0,53,75,73,100,70.0
Garrett E. Reisman,2571,3,21.0,0.0,60,65,66,100,67.0
Judith A. Resnik,144,0,0.0,0.0,51,50,50,100,50.0
Paul W. Richards,307,1,6.0,0.0,51,55,54,100,54.0
Richard N. Richards,813,0,0.0,0.0,53,50,50,100,51.0
Sally K. Ride,343,0,0.0,0.0,51,50,50,100,50.0
Patricia Hilliard Robertson,0,0,0.0,0.0,50,50,50,100,50.0
Stephen K. Robinson,1162,3,20.0,0.0,55,65,65,100,64.0
Kent V. Rominger,1611,0,0.0,0.0,56,50,50,100,53.0
Stuart A. Roosa,216,0,0.0,0.0,51,50,50,100,50.0
Jerry L. Ross,1393,9,58.0,0.0,55,95,93,100,87.0
Kathleen Rubins,2762,2,13.0,0.0,61,60,60,100,63.0
Mario Runco Jr. ,551,0,0.0,0.0,52,50,50,100,51.0
Albert Sacco Jr.,381,0,0.0,0.0,51,50,50,100,50.0
Robert L. Satcher Jr. ,259,2,12.0,0.0,51,60,59,100,58.0
Walter M. Schirra Jr. ,295,0,0.0,0.0,51,50,50,100,50.0
Harrison H. Schmitt,301,3,22.0,0.0,51,65,66,100,62.0
Russell L. Schweickart,241,1,1.0,0.0,51,55,51,100,53.0
Francis R. Scobee,167,0,0.0,0.0,51,50,50,100,50.0
David R. Scott,546,4,19.0,0.0,52,70,64,100,65.0
Winston E. Scott,590,3,19.0,0.0,52,65,64,100,62.0
Paul D. Scully-Power,197,0,0.0,0.0,51,50,50,100,50.0
Richard A. Searfoss,939,0,0.0,0.0,54,50,50,100,52.0
Margaret Rhea Seddon,722,0,0.0,0.0,53,50,50,100,51.0
Elliot M. See Jr. ,0,0,0.0,0.0,50,50,50,100,50.0
Ronald M. Sega,420,0,0.0,0.0,52,50,50,100,51.0
Piers J. Sellers,839,6,41.0,0.0,53,80,81,100,75.0
Brewster H. Shaw Jr. ,533,0,0.0,0.0,52,50,50,100,51.0
Alan B. Shepard Jr. ,216,2,9.0,0.0,51,60,57,100,57.0
William M. Shepherd,3823,0,0.0,0.0,65,50,50,100,57.0
Loren J. Shriver,386,0,0.0,0.0,52,50,50,100,51.0
Donald K. Slayton,217,0,0.0,0.0,51,50,50,100,50.0
Michael J. Smith,0,0,0.0,0.0,50,50,50,100,50.0
Steven L. Smith,960,7,49.0,0.0,54,85,87,100,80.0
Sherwood C. Spring,165,2,12.0,0.0,51,60,59,100,58.0
Robert C. Springer,237,0,0.0,0.0,51,50,50,100,50.0
Thomas P. Stafford,507,0,0.0,0.0,52,50,50,100,51.0
Heidemarie M. Stefanyshyn-Piper,663,2,33.0,0.0,53,60,75,100,64.0
Robert L. Stewart,289,2,12.0,0.0,51,60,59,100,58.0
Nicole P. Stott,2477,1,6.0,0.0,60,55,54,100,58.0
Frederick W. Sturckow,1233,0,0.0,0.0,55,50,50,100,52.0
Kathryn D. Sullivan,532,1,3.0,0.0,52,55,52,100,54.0
Steven R. Swanson,4700,5,28.0,0.0,68,75,71,100,77.0
John L. Swigert Jr. ,142,0,0.0,0.0,51,50,50,100,50.0
Daniel M. Tani,3162,6,39.0,0.0,62,80,79,100,79.0
Joseph R. Tanner,1045,7,46.0,0.0,54,85,84,100,79.0
Norman E. Thagard,3373,0,0.0,0.0,63,50,50,100,56.0
Andrew S. W. Thomas,4257,1,6.0,0.0,67,55,54,100,61.0
Donald A. Thomas,1040,0,0.0,0.0,54,50,50,100,52.0
Stephen D. Thorne,0,0,0.0,0.0,50,50,50,100,50.0
Kathryn C. Thornton,975,3,21.0,0.0,54,65,66,100,64.0
William E. Thornton,315,0,0.0,0.0,51,50,50,100,50.0
Pierre J. Thuot,654,3,17.0,0.0,53,65,63,100,62.0
Scott D. Tingle,0,0,0.0,0.0,50,50,50,100,50.0
Richard H. Truly,199,0,0.0,0.0,51,50,50,100,50.0
Lodewijk van den Berg,168,0,0.0,0.0,51,50,50,100,50.0
James D. van Hoften,338,4,22.0,0.0,51,70,66,100,65.0
Mark T. Vande Hei,0,0,0.0,0.0,50,50,50,100,50.0
Charles Lacy Veach,436,0,0.0,0.0,52,50,50,100,51.0
Terry W. Virts Jr. ,5122,3,18.0,0.0,70,65,63,100,70.0
James S. Voss,4853,4,22.0,0.0,69,70,66,100,73.0
Janice E. Voss,1179,0,0.0,0.0,55,50,50,100,52.0
Rex J. Walheim,872,5,36.0,0.0,53,75,77,100,71.0
Charles D. Walker,477,0,0.0,0.0,52,50,50,100,51.0
David M. Walker,724,0,0.0,0.0,53,50,50,100,51.0
Shannon Walker,3919,0,0.0,0.0,65,50,50,100,57.0
Carl E. Walz,5533,3,19.0,0.0,72,65,64,100,72.0
Taylor G. Wang,168,0,0.0,0.0,51,50,50,100,50.0
Mary E. Weber,450,0,0.0,0.0,52,50,50,100,51.0
Paul J. Weitz,793,1,2.0,0.0,53,55,51,100,54.0
James D. Wetherbee,1594,0,0.0,0.0,56,50,50,100,53.0
Douglas H. Wheelock,4281,6,43.0,0.0,67,80,82,100,82.0
Edward H. White II ,97,1,0.5,0.0,50,55,50,100,52.0
Peggy A. Whitson,11698,7,46.0,0.0,96,85,84,100,98.0
Terrence W. Wilcutt,1008,0,0.0,0.0,54,50,50,100,52.0
Clifton C. Williams Jr. ,0,0,0.0,0.0,50,50,50,100,50.0
Donald E. Williams,287,0,0.0,0.0,51,50,50,100,50.0
Jeffrey N. Williams,12818,5,32.0,0.0,100,75,74,100,92.0
Sunita L. Williams,7721,7,50.0,0.0,80,85,87,100,92.0
Barry E. Wilmore,4272,4,25.0,0.0,67,70,69,100,73.0
Stephanie D. Wilson,1031,0,0.0,0.0,54,50,50,100,52.0
G. Reid Wiseman,3968,2,13.0,0.0,65,60,60,100,65.0
Peter J. K. Wisoff,1064,3,20.0,0.0,54,65,65,100,64.0
David A. Wolf,4044,7,41.0,0.0,66,85,81,100,83.0
Neil W. Woodward III ,0,0,0.0,0.0,50,50,50,100,50.0
Alfred M. Worden,295,1,0.5,0.0,51,55,50,100,53.0
John W. Young,835,3,20.0,0.0,53,65,65,100,63.0
George D. Zamka,692,0,0.0,0.0,53,50,50,100,51.0
